adsh,tag,version,ddate,qtrs,uom,dimh,iprx,value,footnote,footlen,dimn,coreg,durp,datp,dcml
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20231231,4,CAD,0x12faf8377383b01ce390c53e97c277ed,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20231231,4,CAD,0x3402bf640f0287ada8973c2d97fd81da,0,126000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20231231,4,CAD,0x76b903fe9092a186a6dd1a77efe33910,0,844000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdditionsToRightofuseAssets,ifrs/2023,20231231,4,CAD,0xa1ef62f6db5758d439a1c8abc315fa0c,0,3398000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustedWeightedAverageShares,ifrs/2023,20221231,4,shares,0x00000000,0,407135000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustedWeightedAverageShares,ifrs/2023,20231231,4,shares,0x00000000,0,435355000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentDividendsExcessofOwnershipFromSignificantInvestmentsInAssociates,0001193125-24-075464,20221231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,-48641000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentDividendsExcessofOwnershipFromSignificantInvestmentsInAssociates,0001193125-24-075464,20231231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,-74843000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentDividendsReceivedFromSignificantInvestmentsInAssociates,0001193125-24-075464,20221231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,0.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentDividendsReceivedFromSignificantInvestmentsInAssociates,0001193125-24-075464,20231231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,5952000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInInventories,ifrs/2023,20221231,4,CAD,0x00000000,0,-162858000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInInventories,ifrs/2023,20231231,4,CAD,0x00000000,0,38394000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInOtherAssets,ifrs/2023,20221231,4,CAD,0x00000000,0,19417000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInOtherAssets,ifrs/2023,20231231,4,CAD,0x00000000,0,-346000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInSuppliesAndPrepaid,0001193125-24-075464,20221231,4,CAD,0x00000000,0,-63500000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInSuppliesAndPrepaid,0001193125-24-075464,20231231,4,CAD,0x00000000,0,8410000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,ifrs/2023,20221231,4,CAD,0x00000000,0,99601000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,ifrs/2023,20231231,4,CAD,0x00000000,0,-242416000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForFairValueGainsLosses,ifrs/2023,20221231,4,CAD,0x00000000,0,82636000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForFairValueGainsLosses,ifrs/2023,20231231,4,CAD,0x00000000,0,-61658000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForIncreaseDecreaseInDeferredIncomeIncludingContractLiabilities,ifrs/2023,20221231,4,CAD,0x00000000,0,43528000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForIncreaseDecreaseInDeferredIncomeIncludingContractLiabilities,ifrs/2023,20231231,4,CAD,0x00000000,0,-21468000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables,ifrs/2023,20221231,4,CAD,0x00000000,0,16401000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables,ifrs/2023,20231231,4,CAD,0x00000000,0,169044000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets,ifrs/2023,20221231,4,CAD,0x00000000,0,514000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets,ifrs/2023,20231231,4,CAD,0x00000000,0,2188000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForProvisions,ifrs/2023,20221231,4,CAD,0x00000000,0,-28492000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForProvisions,ifrs/2023,20231231,4,CAD,0x00000000,0,-38982000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForSharebasedPayments,ifrs/2023,20221231,4,CAD,0x00000000,0,3318000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentsForSharebasedPayments,ifrs/2023,20231231,4,CAD,0x00000000,0,3692000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentToIncreaseDecreaseThroughNetExchangeDifferencesInvestmentProperty,0001193125-24-075464,20221231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,-2396000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentToIncreaseDecreaseThroughNetExchangeDifferencesInvestmentProperty,0001193125-24-075464,20231231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,850000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentToIncreaseDecreaseThroughNetExchangeDifferencesInvestmentProperty,0001193125-24-075464,20231231,4,CAD,0xba4840e18991fb58d7dafad0ca4a9e68,0,-1978000.0,,0,1,,0.01095891,0.0,-3
0001193125-24-075464,AdjustmentToShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,0001193125-24-075464,20221231,4,CAD,0x4f485fd4695fe949520de6b8c28656da,0,-82275000.0,,0,1,,0.01095891,0.0,-3
