dimhash,segments,segt
0x5fd249c4f9ad9b8c9113f1d6f5dcd8df,ClassesOfShareCapital=OrdinaryShares;ClassesOfShareHolders=ShareHolderNonResident;Range=TopOfRange;,0
0x01f1ea73ff91441ea465468a82d29849,ClassesOfFinancialLiabilities=InterestRateSwapContract;Maturity=LaterThanFiveYears;,0
0x0af5a625de982496a76803e981deef92,ClassesOfFinancialLiabilities=AccountsPayableAndAccruedLiabilities;Maturity=LaterThanThreeMonthsAndNotLaterThanOneYear;,0
0x5387d48e38c263673d93946b7dfaf9dc,JointOperations=McarthurRiver;,0
0xd4a6a2ed2e9ddca074491f992c037575,JointVentures=WestinghouseElectricCompany;,0
0x46f07d37c0a1c9552cb30e5c37b4f592,Maturity=LaterThanOneYearAndNotLaterThanThreeYears;,0
0xaecb7a8707771aaeca0ed8594470434c,BorrowingsByName=ProductLoan;ProductsAndServices=Uf6;,0
0x377b499972d73f3486856f4e656e5be4,ClassesOfFinancialLiabilities=LeaseLiabilities;Maturity=LaterThanFiveYears;,0
0xb64576264e176492a9e7d9abd9622807,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2035;,0
0x51fda02922ad310014fc8e975b76c87a,SignificantInvestmentsInSubsidiaries=CamecoEuropeLtd;,0
0xfde8d7d6a074f16052935a9aa97ff500,Maturity=LaterThanOneYearAndNotLaterThanTwoYears;Segments=Uranium;,0
0x97138038874b05715854f141926f39d1,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2043;,0
0x6ead56f93097c6d4a54dff866222863c,GeographicalAreas=AsiaPacific;Segments=ReportableSegments;,0
0x06130ea3e1b631a1818bf7f179ac07c8,PastDueStatus=Current;TypeOfCustomer=OtherCustomers;,0
0x57e7cd51d48a9c16db071c0037aa823b,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2040;,0
0x9d57066e2344136f5dce28c8f0061f02,Maturity=LaterThanFiveYears;Segments=FuelServices;,0
0x8531bd8670e66a939ff28a3f4c40847a,Maturity=LaterThanThreeMonthsAndNotLaterThanOneYear;,0
0x6954ae23356848fa05c84eac10cb4388,ClassesOfFinancialAssets=ForeignCurrencyContracts;LevelsOfFairValueHierarchy=Level2OfFairValueHierarchy;,0
0x0a07265b4fdc6747815d3dda38547956,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2033;,0
0xb22f621045b24aa6b4511620e888edf7,BorrowingsByName=ProductLoan;Range=TopOfRange;,0
0x5d70f242593b9d0406074ac588e8e4c8,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxLosses;,0
0xb57af6fcbb5cd156383c103888cbce8d,ClassesOfFinancialLiabilities=AccountsPayableAndAccruedLiabilities;,0
0xf989790545092081c3c555041ff520a1,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2033;,0
0x558377e92426a3a56b42d0133b632af6,BorrowingsByName=LetterOfCreditFacilities;,0
0xd82a28885fbb847f36d7012556c05565,ComponentsOfEquity=SharePremium;,0
0xcd220450fce6965db882c3f00263fbc9,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2032;,0
0x39a4b86e6ee2ed9066211de86ffaef1e,GeographicalAreas=NorthAmerica;Segments=Uranium;,0
